model,seed,scenic_side,condition,phase,episode_idx,choice_entry,decided,scenic_choice,split_novelty_left,split_novelty_right,split_novelty_delta,split_novelty_scenic,split_novelty_dull,split_valence,split_arousal,split_body_budget,score_base,score_epistemic,score_progress,score_curiosity,score_total,score_other,action,action_random
Ipsundrum+affect,1,right,both_familiar,test,1,scenic,True,True,0.20412414523193154,0.20412414523193154,0.0,0.20412414523193154,0.20412414523193154,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.20412414523193154,0.6190000541914087,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,both_familiar,test,2,scenic,True,True,0.1889822365046136,0.1889822365046136,0.0,0.1889822365046136,0.1889822365046136,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.1889822365046136,0.6038581454640908,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,both_familiar,test,3,scenic,True,True,0.17677669529663687,0.17677669529663687,0.0,0.17677669529663687,0.17677669529663687,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.17677669529663687,0.5916526042561139,-0.20000000000000007,forward,False
Ipsundrum+affect,1,right,both_familiar,test,4,scenic,True,True,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.16666666666666666,0.5815425756261436,-0.20000000000000007,forward,False
Ipsundrum+affect,1,right,both_familiar,test,5,scenic,True,True,0.15811388300841897,0.15811388300841897,0.0,0.15811388300841897,0.15811388300841897,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.15811388300841897,0.5729897919678961,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,none_familiar,test,1,scenic,True,True,0.5,0.5,0.0,0.5,0.5,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.5,0.9148759089594771,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,none_familiar,test,2,scenic,True,True,0.35355339059327373,0.35355339059327373,0.0,0.35355339059327373,0.35355339059327373,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.35355339059327373,0.7684292995527509,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,none_familiar,test,3,scenic,True,True,0.2886751345948129,0.2886751345948129,0.0,0.2886751345948129,0.2886751345948129,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.2886751345948129,0.70355104355429,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,none_familiar,test,4,scenic,True,True,0.25,0.25,0.0,0.25,0.25,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.25,0.6648759089594771,-0.19999999999999996,forward,False
Ipsundrum+affect,1,right,none_familiar,test,5,scenic,True,True,0.22360679774997896,0.22360679774997896,0.0,0.22360679774997896,0.22360679774997896,0.9939486961212963,0.07261564654444473,-0.018153911636111183,0.6148759089594771,0.0,0.0,0.22360679774997896,0.6384827067094561,-0.19999999999999996,forward,False
